,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
237,995087,1.0,True,Westerpark,52.38,4.88,Private room,2,1,2,1,73.0,3,28,True,5,5,4.51,True,36.5,219,0.06,0.1,0.15,2.99,0.410958904109589,404.64383561643837
241,1008006,0.97,False,Westerpark,52.38,4.87,Private room,2,1,1,5,123.0,3,30,True,2,1,4.79,False,61.5,369,0.05,0.17,0.2,4.99,0.7013698630136986,615.5890410958904
243,1018639,0.2,False,Centrum-Oost,52.38,4.887,Private room,2,1,2,7,136.0,3,1125,True,0,0,4.61,False,68.0,408,0.07,0.18,0.19,4.99,0.0,681.986301369863
244,1018703,1.0,True,De Pijp - Rivierenbuurt,52.34,4.887,Private room,2,1,1,8,108.0,3,90,True,0,2,4.72,True,54.0,324,0.06,0.14,0.17,4.99,0.2,619.8356164383562
245,1020477,0.64,False,Centrum-West,52.38,4.89,Entire home/apt,2,1,1,13,307.0,5,8,True,4,0,4.91,False,153.5,1535,0.13,0.24,0.16,4.99,0.03287671232876712,1723.2876712328766
246,1021538,0.5,False,Slotervaart,52.34,4.84,Entire home/apt,5,3,3,9,249.0,7,20,True,0,0,5.0,False,49.8,1743,0.1,0.24,0.19,4.99,0.12054794520547946,1245.0
248,1036888,0.09,False,Westerpark,52.38,4.87,Entire home/apt,2,1,1,6,148.0,3,7,True,1,0,4.81,False,74.0,444,0.07,0.14,0.21,4.99,0.3424657534246575,705.0
251,1041309,0.72,False,Zuid,52.34,4.883,Entire home/apt,2,1,2,5,143.0,4,45,True,1,0,4.94,False,71.5,572,0.06,0.12,0.15,4.99,0.00821917808219178,753.013698630137
252,1044448,0.24,False,Centrum-Oost,52.38,4.918,Entire home/apt,4,4,5,23,650.0,3,30,True,1,0,3.88,False,162.5,1950,0.14,0.29,0.27,10.99,0.6876712328767123,3101.301369863014
254,1055703,1.0,True,De Baarsjes - Oud-West,52.38,4.863,Entire home/apt,6,3,3,12,291.0,7,180,True,5,3,4.97,False,48.5,2037,0.09,0.27,0.21,4.99,0.6767123287671233,1456.5753424657535
256,1058082,0.86,False,De Baarsjes - Oud-West,52.38,4.867,Entire home/apt,2,1,1,14,392.0,5,30,True,0,1,4.88,False,196.0,1960,0.09,0.18,0.24,4.99,0.4849315068493151,1957.4931506849316
257,1064108,0.17,True,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,6,99.0,7,180,True,1,0,4.75,False,49.5,693,0.06,0.09,0.15,4.99,0.4794520547945205,495.0
258,1068565,0.54,False,IJburg - Zeeburgereiland,52.38,4.977,Entire home/apt,4,1,1,1,135.0,5,30,True,0,0,4.79,False,33.75,675,0.08,0.13,0.2,4.99,0.4328767123287671,675.0
260,1071414,0.99,False,Oud-Oost,52.34,4.906,Entire home/apt,2,2,1,9,189.0,3,21,True,4,6,4.81,False,94.5,567,0.1,0.23,0.2,4.99,0.024657534246575342,945.0
261,1072171,0.0,False,Bos en Lommer,52.38,4.86,Entire home/apt,4,1,2,10,107.0,7,365,True,0,0,4.33,False,26.75,749,0.07,0.14,0.17,4.99,0.4246575342465753,535.6164383561644
262,1085099,0.67,False,Bos en Lommer,52.38,4.848,Entire home/apt,4,2,2,10,200.0,2,60,True,0,0,4.8,False,50.0,400,0.11,0.2,0.27,4.99,0.0,1000.0
264,1086795,1.0,True,Centrum-Oost,52.38,4.9,Private room,2,1,1,11,193.0,3,365,True,3,1,4.63,True,96.5,579,0.09,0.23,0.21,4.99,0.29041095890410956,1141.6712328767123
265,1088859,0.57,False,De Baarsjes - Oud-West,52.38,4.875,Entire home/apt,2,1,1,4,110.0,3,30,True,0,1,4.87,False,55.0,330,0.07,0.17,0.18,4.99,0.010958904109589041,550.0
266,1095819,0.0,False,Oud-Oost,52.34,4.93,Entire home/apt,3,2,2,3,180.0,3,10,True,0,0,4.82,False,60.0,540,0.07,0.2,0.22,4.99,0.0,817.3972602739726
268,1102846,0.9,False,Centrum-Oost,52.38,4.902,Entire home/apt,3,1,2,5,180.0,3,21,True,0,0,4.68,False,60.0,540,0.07,0.14,0.15,4.99,0.0027397260273972603,900.0
269,1104125,1.0,False,De Baarsjes - Oud-West,52.38,4.867,Entire home/apt,2,1,1,11,125.0,7,21,True,5,3,4.86,False,62.5,875,0.06,0.21,0.2,4.99,0.0136986301369863,625.0
271,1105924,0.5,False,Watergraafsmeer,52.34,4.94,Entire home/apt,4,2,3,13,250.0,4,1125,True,1,0,4.4,False,62.5,1000,0.09,0.24,0.26,4.99,0.019178082191780823,1250.0
274,1116446,1.0,True,Bos en Lommer,52.38,4.848,Private room,2,1,1,1,74.0,1,360,True,1,0,4.25,False,37.0,74,0.06,0.11,0.16,2.99,0.16986301369863013,315.52054794520546
276,1132247,0.67,False,Westerpark,52.38,4.89,Entire home/apt,4,3,4,9,325.0,3,1125,True,0,0,4.81,False,81.25,975,0.12,0.18,0.32,4.99,0.7561643835616438,1625.0
278,1145866,0.96,True,Bos en Lommer,52.38,4.844,Private room,2,1,2,7,85.0,1,60,True,7,2,4.65,False,42.5,85,0.05,0.08,0.15,4.99,0.09315068493150686,431.36986301369865
281,1155251,0.13,True,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,11,135.0,7,180,True,3,1,4.83,False,67.5,945,0.09,0.18,0.14,4.99,0.5013698630136987,520.4794520547945
282,1155386,0.0,False,De Pijp - Rivierenbuurt,52.34,4.914,Entire home/apt,2,1,2,7,99.0,6,14,True,0,0,4.72,False,49.5,594,0.05,0.12,0.16,4.99,0.4383561643835616,499.3150684931507
283,1156220,0.5,False,De Baarsjes - Oud-West,52.38,4.867,Entire home/apt,4,4,4,16,300.0,2,21,True,0,0,5.0,False,75.0,600,0.07,0.12,0.38,4.99,0.0,1500.0
284,1158662,0.5,False,De Baarsjes - Oud-West,52.38,4.863,Entire home/apt,2,1,1,12,285.0,3,30,True,0,0,4.86,False,142.5,855,0.13,0.28,0.32,4.99,0.0,1424.86301369863
285,1162769,0.41,False,Oud-Oost,52.34,4.92,Entire home/apt,4,4,4,15,295.0,4,1125,True,0,0,4.82,False,73.75,1180,0.09,0.11,0.26,4.99,0.4438356164383562,1475.0
286,1174506,0.08,False,De Pijp - Rivierenbuurt,52.34,4.902,Entire home/apt,2,1,1,9,120.0,4,30,True,0,0,4.95,False,60.0,480,0.06,0.12,0.17,4.99,0.0,600.0
287,1182421,0.56,False,Oud-Noord,52.4,4.914,Entire home/apt,4,3,3,2,90.0,4,1125,True,0,0,4.5,False,22.5,360,0.06,0.1,0.16,4.99,0.030136986301369864,551.1095890410959
288,1195666,0.63,False,De Baarsjes - Oud-West,52.38,4.88,Entire home/apt,4,4,4,12,386.0,5,25,True,1,0,4.89,False,96.5,1930,0.12,0.18,0.22,4.99,0.3095890410958904,1894.1780821917807
292,1224695,0.4,False,De Baarsjes - Oud-West,52.38,4.86,Entire home/apt,2,1,1,7,150.0,8,1123,True,0,0,4.77,False,75.0,1200,0.06,0.16,0.24,4.99,0.1643835616438356,789.4931506849315
293,1225622,0.6,False,De Baarsjes - Oud-West,52.34,4.86,Entire home/apt,4,3,3,11,160.0,5,30,True,0,0,4.92,False,40.0,800,0.09,0.13,0.22,4.99,0.005479452054794521,883.9041095890411
295,1236227,1.0,True,Centrum-West,52.38,4.883,Entire home/apt,4,2,2,23,434.0,1,365,True,2,3,4.52,False,108.5,434,0.1,0.14,0.29,10.99,0.5452054794520548,2369.780821917808
297,1250364,0.15,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,4,3,3,10,260.0,3,1125,True,0,0,4.84,False,65.0,780,0.07,0.16,0.23,4.99,0.40821917808219177,1300.0
299,1260229,1.0,False,Centrum-West,52.38,4.89,Entire home/apt,2,1,3,6,190.0,3,30,True,1,0,4.74,False,95.0,570,0.07,0.15,0.15,4.99,0.005479452054794521,861.2328767123288
301,1271700,0.44,False,De Baarsjes - Oud-West,52.38,4.867,Entire home/apt,4,3,3,10,300.0,3,14,True,0,1,4.86,False,75.0,900,0.13,0.23,0.23,4.99,0.00821917808219178,1500.0
302,1272352,1.0,False,Bos en Lommer,52.38,4.86,Private room,2,1,1,7,127.0,3,100,True,0,4,4.67,True,63.5,381,0.07,0.13,0.15,4.99,0.473972602739726,654.3013698630137
303,1291054,1.0,False,Noord-West,52.44,4.887,Hotel room,2,1,1,1,81.0,3,60,True,1,1,4.51,True,40.5,243,0.06,0.11,0.16,4.99,0.7808219178082192,398.1917808219178
304,1311373,0.25,False,De Baarsjes - Oud-West,52.38,4.875,Entire home/apt,4,3,6,2,280.0,4,1125,True,0,0,4.89,True,70.0,1120,0.09,0.22,0.2,4.99,0.0136986301369863,1445.2876712328766
305,1315392,0.66,True,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,4,140.0,7,180,True,2,1,4.75,False,70.0,980,0.06,0.16,0.15,4.99,0.5123287671232877,532.5342465753424
306,1316990,0.53,True,Centrum-West,52.38,4.887,Entire home/apt,4,2,2,8,196.0,7,180,True,2,2,4.82,False,49.0,1372,0.06,0.17,0.19,4.99,0.07945205479452055,913.082191780822
307,1320353,0.25,True,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,1,110.0,7,180,True,12,0,4.9,False,55.0,770,0.07,0.14,0.18,4.99,0.684931506849315,566.986301369863
