,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
308,1320438,0.17,True,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,11,125.0,7,180,True,4,0,4.88,False,62.5,875,0.05,0.15,0.18,4.99,0.6904109589041096,625.0
309,1321735,0.62,True,Centrum-West,52.38,4.887,Entire home/apt,3,2,2,6,160.0,7,180,True,10,0,4.62,False,53.34,1120,0.07,0.14,0.19,4.99,0.6465753424657534,540.3013698630137
312,1331157,0.29,False,IJburg - Zeeburgereiland,52.34,5.008,Entire home/apt,4,3,3,9,193.0,3,14,True,0,0,4.87,False,48.25,579,0.08,0.18,0.2,4.99,0.4410958904109589,963.013698630137
314,1338633,0.38,False,Oud-Noord,52.4,4.945,Private room,1,1,1,5,59.0,4,5,True,1,1,4.19,False,59.0,236,0.06,0.14,0.16,2.99,0.2876712328767123,295.0
317,1354077,0.0,False,Centrum-Oost,52.38,4.902,Entire home/apt,4,2,2,5,135.0,3,1125,True,0,0,4.43,False,33.75,405,0.07,0.15,0.2,4.99,0.0,675.0
320,1364013,0.27,False,De Baarsjes - Oud-West,52.38,4.85,Entire home/apt,4,3,4,5,111.0,4,23,True,14,0,4.7,False,27.75,444,0.05,0.16,0.19,4.99,0.4547945205479452,591.986301369863
321,1366058,0.56,False,Oud-Noord,52.38,4.914,Entire home/apt,4,2,2,9,159.0,5,29,True,0,0,4.83,False,39.75,795,0.08,0.12,0.19,4.99,0.0,792.7397260273973
322,1375601,0.67,False,De Baarsjes - Oud-West,52.38,4.86,Private room,2,1,1,6,187.0,3,365,True,5,2,5.0,False,93.5,561,0.08,0.24,0.23,4.99,0.10410958904109589,933.6986301369863
326,1383369,0.68,False,Westerpark,52.38,4.867,Entire home/apt,3,1,1,1,100.0,4,500,True,5,2,4.75,False,33.34,400,0.08,0.16,0.17,4.99,0.0136986301369863,510.958904109589
327,1383494,0.29,False,Oostelijk Havengebied - Indische Buurt,52.38,4.934,Entire home/apt,2,1,1,8,60.0,30,31,True,0,0,4.71,False,30.0,1800,0.05,0.11,0.16,2.99,0.4246575342465753,443.3013698630137
328,1394668,0.9,False,De Baarsjes - Oud-West,52.38,4.85,Private room,2,1,2,5,88.0,3,7,True,0,5,4.9,False,44.0,264,0.06,0.11,0.15,4.99,0.0,439.24657534246575
329,1397317,0.93,False,De Pijp - Rivierenbuurt,52.34,4.906,Entire home/apt,4,2,2,10,186.0,3,19,True,1,0,4.85,False,46.5,558,0.1,0.14,0.19,4.99,0.021917808219178082,1276.041095890411
332,1408035,0.67,False,De Aker - Nieuw Sloten,52.34,4.805,Shared room,1,1,3,4,50.0,3,3,True,0,0,4.2,False,50.0,150,0.05,0.12,0.16,2.99,0.0,250.0
333,1427610,0.67,False,Geuzenveld - Slotermeer,52.38,4.805,Entire home/apt,4,2,2,7,100.0,5,1125,True,0,0,5.0,False,25.0,500,0.05,0.14,0.15,4.99,0.01643835616438356,622.4794520547945
336,1447217,1.0,True,Bos en Lommer,52.38,4.848,Private room,2,1,1,2,51.0,4,100,True,0,4,4.72,True,25.5,204,0.06,0.07,0.14,2.99,0.336986301369863,317.1095890410959
338,1468473,1.0,False,Bos en Lommer,52.38,4.85,Entire home/apt,2,1,1,8,120.0,3,90,True,1,0,4.56,True,60.0,360,0.06,0.15,0.12,4.99,0.43561643835616437,575.7534246575342
342,1511360,0.6,False,De Baarsjes - Oud-West,52.38,4.867,Entire home/apt,2,1,1,9,155.0,2,14,True,0,1,4.72,False,77.5,310,0.08,0.12,0.2,4.99,0.29863013698630136,775.6164383561644
343,1514368,0.74,True,Centrum-Oost,52.38,4.895,Private room,4,1,2,14,282.0,3,30,True,1,2,4.8,True,70.5,846,0.13,0.07,0.29,4.99,0.21095890410958903,1175.150684931507
344,1517398,0.59,False,Westerpark,52.38,4.88,Entire home/apt,4,2,1,9,122.0,3,30,True,0,2,4.68,False,30.5,366,0.07,0.13,0.15,4.99,0.34794520547945207,550.3835616438356
